topic,course,chapter,lesson_title,lesson_type,duration
Marketing & Bán Hàng,Digital Marketing A-Z,Email Marketing,Viết email bán hàng,doc,20p
Marketing & Bán Hàng,Digital Marketing A-Z,Email Marketing,Tự động hóa email (automation),doc,22p
Marketing & Bán Hàng,Digital Marketing A-Z,Email Marketing,Đo lường tỷ lệ mở & click,doc,15p
Marketing & Bán Hàng,Digital Marketing A-Z,Analytics & Đo lường,Google Analytics 4 cơ bản,doc,22p
Marketing & Bán Hàng,Digital Marketing A-Z,Analytics & Đo lường,Theo dõi chuyển đổi,doc,20p
Marketing & Bán Hàng,Digital Marketing A-Z,Analytics & Đo lường,Báo cáo & ra quyết định từ số liệu,doc,18p
Marketing & Bán Hàng,Bán Hàng Online,Tư duy bán hàng online,Tâm lý mua hàng online,doc,15p
Marketing & Bán Hàng,Bán Hàng Online,Tư duy bán hàng online,Chọn sản phẩm & ngách,doc,20p
Marketing & Bán Hàng,Bán Hàng Online,Tư duy bán hàng online,Xây dựng niềm tin với khách,doc,15p
Marketing & Bán Hàng,Bán Hàng Online,Xây dựng phễu bán hàng,Phễu bán hàng là gì,doc,15p
Marketing & Bán Hàng,Bán Hàng Online,Xây dựng phễu bán hàng,Tạo lead magnet thu hút khách,doc,20p
Marketing & Bán Hàng,Bán Hàng Online,Xây dựng phễu bán hàng,Trang đích (landing page) chuyển đổi,doc,22p
Marketing & Bán Hàng,Bán Hàng Online,Xây dựng phễu bán hàng,Nuôi dưỡng khách hàng tiềm năng,doc,18p
Marketing & Bán Hàng,Bán Hàng Online,Kỹ thuật chốt đơn,Quy trình tư vấn & chốt đơn,doc,20p
Marketing & Bán Hàng,Bán Hàng Online,Kỹ thuật chốt đơn,Kịch bản chốt đơn qua inbox,doc,18p
Marketing & Bán Hàng,Bán Hàng Online,Kỹ thuật chốt đơn,Upsell & Cross-sell,doc,15p
Marketing & Bán Hàng,Bán Hàng Online,Chăm sóc khách hàng,Chăm sóc sau bán hàng,doc,15p
Marketing & Bán Hàng,Bán Hàng Online,Chăm sóc khách hàng,Xử lý khiếu nại,doc,15p
Marketing & Bán Hàng,Bán Hàng Online,Chăm sóc khách hàng,Biến khách thành khách trung thành,doc,18p
Marketing & Bán Hàng,Copywriting & Content,Công thức copywriting,Công thức AIDA,doc,15p
Marketing & Bán Hàng,Copywriting & Content,Công thức copywriting,Công thức PAS,doc,15p
Marketing & Bán Hàng,Copywriting & Content,Công thức copywriting,Tiêu đề thu hút (headline),doc,18p
Marketing & Bán Hàng,Copywriting & Content,Công thức copywriting,Call-to-action hiệu quả,doc,12p
Marketing & Bán Hàng,Copywriting & Content,Content mạng xã hội,Content Facebook bán hàng,doc,18p
Marketing & Bán Hàng,Copywriting & Content,Content mạng xã hội,Content TikTok & Reels,video,20p
Marketing & Bán Hàng,Copywriting & Content,Content mạng xã hội,Lịch đăng bài & kế hoạch nội dung,doc,15p
Marketing & Bán Hàng,Copywriting & Content,Landing page bán hàng,Cấu trúc landing page chuẩn,doc,20p
Marketing & Bán Hàng,Copywriting & Content,Landing page bán hàng,Viết nội dung từng phần,doc,22p
Marketing & Bán Hàng,Copywriting & Content,Landing page bán hàng,Tối ưu tỷ lệ chuyển đổi,doc,18p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tìm & validate ý tưởng,Cách tìm ý tưởng kinh doanh,doc,20p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tìm & validate ý tưởng,Phỏng vấn khách hàng (Customer Discovery),doc,22p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tìm & validate ý tưởng,Kiểm chứng ý tưởng không cần vốn,doc,20p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tìm & validate ý tưởng,MVP — sản phẩm khả dụng tối thiểu,doc,18p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Business Model Canvas,9 thành phần Business Model Canvas,doc,25p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Business Model Canvas,Xác định phân khúc khách hàng,doc,18p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Business Model Canvas,Dòng doanh thu & cấu trúc chi phí,doc,20p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tài chính khởi nghiệp,Lập kế hoạch tài chính cơ bản,doc,22p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tài chính khởi nghiệp,Dự báo dòng tiền,doc,20p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tài chính khởi nghiệp,Gọi vốn & định giá,doc,25p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tăng trưởng & Scale,Chiến lược tăng trưởng,doc,20p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tăng trưởng & Scale,Xây dựng đội ngũ,doc,18p
Kinh Doanh & Khởi Nghiệp,Khởi Nghiệp Từ A-Z,Tăng trưởng & Scale,Mở rộng quy mô bền vững,doc,20p
Kinh Doanh & Khởi Nghiệp,Quản Lý Vận Hành,Quản lý nhân sự,Tuyển dụng & onboarding,doc,20p
Kinh Doanh & Khởi Nghiệp,Quản Lý Vận Hành,Quản lý nhân sự,Đánh giá hiệu suất nhân viên,doc,18p
Kinh Doanh & Khởi Nghiệp,Quản Lý Vận Hành,Quản lý nhân sự,Văn hóa doanh nghiệp,doc,15p
Kinh Doanh & Khởi Nghiệp,Quản Lý Vận Hành,Quy trình & hệ thống,Xây dựng quy trình chuẩn (SOP),doc,22p
Kinh Doanh & Khởi Nghiệp,Quản Lý Vận Hành,Quy trình & hệ thống,Tự động hóa công việc lặp lại,doc,20p
Kinh Doanh & Khởi Nghiệp,Quản Lý Vận Hành,Quy trình & hệ thống,Công cụ quản lý vận hành,doc,15p
Kinh Doanh & Khởi Nghiệp,Quản Lý Vận Hành,KPI & đo lường,Thiết lập KPI cho từng bộ phận,doc,20p
Kinh Doanh & Khởi Nghiệp,Quản Lý Vận Hành,KPI & đo lường,Dashboard theo dõi hiệu quả,doc,18p
Kinh Doanh & Khởi Nghiệp,Quản Lý Vận Hành,KPI & đo lường,Họp review & cải tiến,doc,15p
Kỹ Năng Kinh Doanh,Đàm Phán & Chốt Sale,Tâm lý khách hàng,Hiểu nhu cầu thật của khách,doc,18p
Kỹ Năng Kinh Doanh,Đàm Phán & Chốt Sale,Tâm lý khách hàng,Các kiểu khách hàng & cách tiếp cận,doc,20p
Kỹ Năng Kinh Doanh,Đàm Phán & Chốt Sale,Tâm lý khách hàng,Xây dựng lòng tin nhanh,doc,15p
Kỹ Năng Kinh Doanh,Đàm Phán & Chốt Sale,Kỹ thuật đàm phán,Nguyên tắc đàm phán win-win,doc,20p
Kỹ Năng Kinh Doanh,Đàm Phán & Chốt Sale,Kỹ thuật đàm phán,Neo giá & nhượng bộ,doc,18p
Kỹ Năng Kinh Doanh,Đàm Phán & Chốt Sale,Kỹ thuật đàm phán,Ngôn ngữ cơ thể trong đàm phán,video,15p
Kỹ Năng Kinh Doanh,Đàm Phán & Chốt Sale,Xử lý từ chối,Các lý do từ chối thường gặp,doc,15p
Kỹ Năng Kinh Doanh,Đàm Phán & Chốt Sale,Xử lý từ chối,Kịch bản xử lý khi khách phân vân,doc,18p
Kỹ Năng Kinh Doanh,Đàm Phán & Chốt Sale,Xử lý từ chối,Xử lý từ chối về giá,doc,18p
Kỹ Năng Kinh Doanh,Thương Hiệu Cá Nhân,Nền tảng Personal Brand,Personal branding là gì,doc,15p
Kỹ Năng Kinh Doanh,Thương Hiệu Cá Nhân,Nền tảng Personal Brand,Xác định định vị cá nhân,doc,18p
Kỹ Năng Kinh Doanh,Thương Hiệu Cá Nhân,Nền tảng Personal Brand,Câu chuyện thương hiệu cá nhân,doc,18p
Kỹ Năng Kinh Doanh,Thương Hiệu Cá Nhân,LinkedIn & mạng xã hội,Tối ưu hồ sơ LinkedIn,doc,20p
Kỹ Năng Kinh Doanh,Thương Hiệu Cá Nhân,LinkedIn & mạng xã hội,Chiến lược nội dung cá nhân,doc,18p
Kỹ Năng Kinh Doanh,Thương Hiệu Cá Nhân,LinkedIn & mạng xã hội,Xây dựng uy tín chuyên gia,doc,15p
Kỹ Năng Kinh Doanh,Thương Hiệu Cá Nhân,Mạng lưới quan hệ,Networking hiệu quả,doc,15p
Kỹ Năng Kinh Doanh,Thương Hiệu Cá Nhân,Mạng lưới quan hệ,Duy trì & nuôi dưỡng quan hệ,doc,15p
Kỹ Năng Kinh Doanh,Tư Duy & Năng Suất,Deep Work,Deep Work — làm việc tập trung sâu,doc,20p
Kỹ Năng Kinh Doanh,Tư Duy & Năng Suất,Deep Work,Loại bỏ sao nhãng,doc,15p
Kỹ Năng Kinh Doanh,Tư Duy & Năng Suất,Deep Work,Thiết kế môi trường làm việc,doc,15p
Kỹ Năng Kinh Doanh,Tư Duy & Năng Suất,Getting Things Done (GTD),Tổng quan phương pháp GTD,doc,20p
Kỹ Năng Kinh Doanh,Tư Duy & Năng Suất,Getting Things Done (GTD),Thu thập & xử lý công việc,doc,18p
Kỹ Năng Kinh Doanh,Tư Duy & Năng Suất,Getting Things Done (GTD),Review hàng tuần,doc,15p
Kỹ Năng Kinh Doanh,Tư Duy & Năng Suất,Quản lý thời gian,Ma trận Eisenhower,doc,15p
Kỹ Năng Kinh Doanh,Tư Duy & Năng Suất,Quản lý thời gian,Kỹ thuật Pomodoro,doc,12p
Kỹ Năng Kinh Doanh,Tư Duy & Năng Suất,Quản lý thời gian,Lập kế hoạch ngày hiệu quả,doc,15p
